id,parent_id,model,foreign_key,alias,lft,rght
1,NULL,NULL,NULL,controllers,1,114
2,1,NULL,NULL,Componentes,2,15
3,2,NULL,NULL,index,3,4
4,2,NULL,NULL,add,5,6
5,2,NULL,NULL,view,7,8
6,2,NULL,NULL,edit,9,10
7,2,NULL,NULL,delete,11,12
8,2,NULL,NULL,getImagenByIdComponente,13,14
9,1,NULL,NULL,Cruces,16,29
10,9,NULL,NULL,index,17,18
11,9,NULL,NULL,view,19,20
12,9,NULL,NULL,add,21,22
13,9,NULL,NULL,edit,23,24
14,9,NULL,NULL,delete,25,26
15,9,NULL,NULL,get_cruces,27,28
16,1,NULL,NULL,Groups,30,37
17,16,NULL,NULL,index,31,32
18,16,NULL,NULL,view,33,34
19,16,NULL,NULL,add,35,36
20,1,NULL,NULL,Incidencias,38,47
21,20,NULL,NULL,index,39,40
22,20,NULL,NULL,add,41,42
23,20,NULL,NULL,view,43,44
24,20,NULL,NULL,delete,45,46
25,1,NULL,NULL,Pages,48,53
26,25,NULL,NULL,home,49,50
27,25,NULL,NULL,login,51,52
28,1,NULL,NULL,Reportes,54,71
29,28,NULL,NULL,index,55,56
30,28,NULL,NULL,cruce,57,58
31,28,NULL,NULL,getByCruce,59,60
32,28,NULL,NULL,tipo,61,62
33,28,NULL,NULL,getByTipo,63,64
34,28,NULL,NULL,componente,65,66
35,28,NULL,NULL,getByComponente,67,68
36,28,NULL,NULL,estadisticas,69,70
37,1,NULL,NULL,Tipos,72,83
38,37,NULL,NULL,index,73,74
39,37,NULL,NULL,add,75,76
40,37,NULL,NULL,view,77,78
41,37,NULL,NULL,edit,79,80
42,37,NULL,NULL,delete,81,82
43,1,NULL,NULL,Trabajadores,84,95
44,43,NULL,NULL,index,85,86
45,43,NULL,NULL,add,87,88
46,43,NULL,NULL,view,89,90
47,43,NULL,NULL,edit,91,92
48,43,NULL,NULL,delete,93,94
49,1,NULL,NULL,Users,96,111
50,49,NULL,NULL,initDB,97,98
51,49,NULL,NULL,add,99,100
52,49,NULL,NULL,login,101,102
53,49,NULL,NULL,logout,103,104
54,49,NULL,NULL,data,105,106
55,49,NULL,NULL,change_pass,107,108
56,49,NULL,NULL,datos,109,110
57,1,NULL,NULL,AclExtras,112,113
